Record,DATE, TIME,ALARM_CODE
         1,2025-01-15,16:49:40.043,  1034
         2,2025-01-15,16:50:09.198,  1034
         3,2025-01-15,16:50:47.207,  1035
         4,2025-01-15,16:50:47.658,  1036
         5,2025-01-15,16:58:54.972,  1037
         6,2025-01-15,16:58:55.862,  1035
         7,2025-01-15,16:59:03.372,  1037
         8,2025-01-15,16:59:32.105,  1034
