Record,DATE, TIME,ALARM_CODE
         1,2024-12-02,16:28:27.864,     0
         2,2024-12-02,16:28:28.380,  1021
         3,2024-12-02,16:28:28.893,  1022
         4,2024-12-02,16:28:29.410,  1023
         5,2024-12-02,16:28:31.469,  1024
