Record,DATE, TIME,ALARM_CODE
         1,2025-01-15,15:45:41.082,  1012
         2,2025-01-15,15:45:41.522,  1035
         3,2025-01-15,15:45:41.966,  1036
         4,2025-01-15,15:45:49.486,  1034
