Record,DATE, TIME,ALARM_CODE
         1,2024-12-02,16:27:45.544,  1035
         2,2024-12-02,16:27:46.065,  1021
         3,2024-12-02,16:27:46.582,  1023
         4,2024-12-02,16:27:47.106,  1024
         5,2024-12-02,16:27:48.654,  1033
