Record,DATE, TIME,ALARM_CODE
         1,2025-01-15,15:58:50.385,  1036
         2,2025-01-15,15:58:50.823,  1036
         3,2025-01-15,15:59:27.496,  1037
         4,2025-01-15,15:59:35.876,  1035
